customer_id,full_name,email,phone,country,signup_date_raw,marketing_opt_in,source
C10000,"Syed, Bilal",,+971-59-083-0166,United Kingdom,,1,ads
C10001,SANA Malik,sana.malik@company.com,00971 96 030 8246,Pak,,TRUE,unknown
C10002,Zain Malik ,zain585@gmail.com,N/A,IN,,0,Referral
C10003,FATIMA Butt,NA,875 749 118,United States,2024-02-15 00:00:00,yes,Partner
C10004,,khalid80@outlook.com,,PK,"Mar 04, 2022",y ,
C10005,,nadia.raza@yahoo.com,,United Kingdom,2023-02-30,0,Ads
C10006,"Farooq, Zain",zain.farooq 18@company.com,00971 46 563 2122,United Kingdom,13/13/2023,,organic
C10007,Yusuf Raza,yusuf150@company.com,952 890 786,DE,08/02/2023,0,  organic  
C10008,LAYLA Ali,laylaali@gmail.com,0590109281,UAE,2022/03/14,,partner
C10009,Ayesha  Sheikh,ayesha.sheikh@gmail.com,,KSA,05/06/2023,,ads
C10010,Noor  Javed,noor.javed@company.com,,U.A.E,2022/12/04,,Organic
C10011,,noemail@,500 474 395,India,2024-09-04 00:00:00,N,Organic
C10012,"Butt, Omar",omar.butt 27@company.com,00971 90 751 1637,Germany,2024-03-19 00:00:00,N,partner
C10013,,nadiachaudhry@hotmail.com,,India,,,organic
C10014,,alikhan@yahoo.com,0330434839,KSA,2023-02-30,yes,ads
C10015,,,N/A,USA,06/26/2022,0,
C10016,Omar Siddiqui,noemail@,180 334 018,Pak,29/01/2022,0,Referral
C10017,Huda Javed ,huda525@yahoo.com,N/A,,2023-02-30,N,partner
C10018,Nadia Iqbal,nadia.iqbal@hotmail.com,,Pakistan,13/13/2023,yes,  organic  
C10019,,mariam442@yahoo.com,355 150 587,UAE,2023-01-29 00:00:00,,
C10020,Fatima Javed,fatima.javed@outlook.com,,U.A.E,13/13/2023, n,Referral
C10021,Sara Sheikh,sara.sheikh..24@gmail.com,N/A,Pakistan,2023-04-10,FALSE,unknown
C10022,Khalid Sheikh ,khalidsheikh@gmail.com,0240234483,,05/28/2023,TRUE,Referral
C10023,Ali Sheikh,,,Saudi Arabia,2023/12/06,no,Referral
C10024,"Syed, Noor",noor.syed@gmail.com,00971 46 201 6849,Saudi Arabia,13/13/2023,yes,organic
C10025,Yusuf Farooq,NA,+971-30-435-2056,,,y ,Organic
C10026,Mariam Javed,mariamjaved@yahoo.com,,USA,,1,Referral
C10027,Rania  Syed,raniasyed@gmail.com,N/A,United Kingdom,2022-03-29,Y,organic
C10028,"Malik, Hassan",hassan.malik@gmail.com,+971-83-740-7188,U.A.E,13/13/2023,TRUE,Ads
C10029,,yusuf.butt30@yahoo.com,00971 61 740 9319,IN,"Sep 18, 2022",,
C10030,"Khan, Ayesha",ayesha.khan@hotmail.com,00971 74 847 7718,Saudi Arabia,13/13/2023,Y,referral
C10031,Nadia Ahmed ,nadia.ahmed 35@hotmail.com,,U.A.E,14/10/2022, n,Referral
C10032,"Akhtar, Mariam",mariam.akhtar@yahoo.com,N/A,IN,2022-01-02 00:00:00,FALSE,partner
C10033,,omar13@outlook.com,0166915640,Pakistan,"Feb 22, 2022",y ,organic
C10034,"Sheikh, Mariam",mariam524@yahoo.com,,USA,"Oct 22, 2023",0,ads
C10035,IBRAHIM Syed,ibrahim484@outlook.com,00971 44 634 7861,United States,2022/03/18,,Partner
C10036,"Butt, Ibrahim",ibrahim.butt 98@yahoo.com,0283312581,United Kingdom,"Jan 13, 2023",,Organic
C10037,"Aslam, Ali",aliaslam@yahoo.com,,UK,"Apr 05, 2022",no,partner
C10038,"Farooq, Layla",laylafarooq@gmail.com,679 701 687,United Kingdom,12/03/2024,no,organic
C10039,,ayesha.javed..90@gmail.com,,KSA,2023-02-30, n,Ads
C10040,Omar  Ahmed,omar.ahmed..25@outlook.com,,United Kingdom,,no,unknown
C10041,"Khan, Mariam",mariam.khan@gmail.com,376 143 653,United Arab Emirates,2023-12-14 00:00:00, n,partner
C10042,HASSAN Chaudhry,,N/A,Saudi Arabia,,0,
C10043,"Butt, Zain",,00971 60 309 2600,DE,2023-04-06 00:00:00, n,Ads
C10044,Sara  Qureshi,noemail@,+971-04-655-7210,KSA,2022-03-24 00:00:00,1,Ads
C10045,"Hussain, Ibrahim",ibrahim.hussain@gmail.com,+971-73-587-3557,Germany,2023-02-30,Y,partner
C10046,Hera Farooq,herafarooq@gmail.com,0955459045,Saudi Arabia,,y ,Ads
C10047,Ali Butt,ali.butt..60@outlook.com,00971 67 272 0429,IN,2024-05-31 00:00:00,0,Referral
C10048,Huda Ahmed ,hudaahmed@hotmail.com,+971-61-078-8526,PK,,N,Organic
C10049,"Aslam, Omar",omaraslam@hotmail.com,,KSA,"Jan 17, 2023", n,referral
C10050,NOOR Farooq,noorfarooq@outlook.com,00971 93 516 4388,Pakistan,13/13/2023,Y,Ads
C10051,ALI Akhtar,ali.akhtar@outlook.com,,United States,,TRUE,  organic  
C10052,,ali611@hotmail.com,,UK,2024-04-14,FALSE,partner
C10053,Hassan Qureshi ,hassan.qureshi@yahoo.com,+971-87-161-6828,United States,"Feb 12, 2023",1,referral
C10054,Fatima Aslam,fatima320@yahoo.com,00971 60 536 6306,Germany,27/04/2022,1,
C10055,HASSAN Farooq,,0619958225,United States,06/18/2023,N,Ads
C10056,LAYLA Akhtar,layla.akhtar6@outlook.com,,UK,13/13/2023,yes,
C10057,"Ali, Noor",noor.ali..21@outlook.com,123 308 051,,"Jul 18, 2023",y ,partner
C10058,FATIMA Memon,fatima436@yahoo.com,872 009 773,,05/06/2024,0,partner
C10059,OMAR Ahmed,omar.ahmed@yahoo.com,+971-88-002-1581,U.A.E,2023-02-30,y ,organic
C10060,Ali Ahmed ,aliahmed@hotmail.com,0742315942,KSA,13/13/2023,yes,referral
C10061,HAMZA Akhtar,,550 326 245,United States,"Mar 22, 2024",N,unknown
